Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
22.35,0,0.1991523114735065241799006906,0.199152311473507,0.198583211858884,0.199152311473507,0.198583211858884,0,0.0000000,0.0000000,0,5.3752677837535607281487572783,76.373224170637951134690802797,81.19816264898778843886269633,2201977000
22.36,0,0.1991498426334435527012209778,0.199149842633444,0.198581235394179,0.199149842633444,0.198581235394179,0,0.0000000,0.0000000,0,5.3742796237409440831361235239,76.361825141749663151359482952,81.19147669811487911102549666,2202962000
22.37,0,0.1991473864033700912731451040,0.19914738640337,0.198579270899976,0.19914738640337,0.198579270899976,0,0.0000000,0.0000000,0,5.3732921219664640815747042484,76.350459527158436829009765432,81.18481126329241803413952073,2203948000
22.38,0,0.1991449341608519450670329475,0.199144934160852,0.198577309754948,0.199144934160852,0.198577309754948,0,0.0000000,0.0000000,0,5.3723053767612477535989215468,76.339077135199826607619212328,81.17813509667885921485697703,2204933000
22.39,0,0.1991424849019496228274205532,0.19914248490195,0.198575350956262,0.19914248490195,0.198575350956262,0,0.0000000,0.0000000,0,5.3713192139533651012141291154,76.327702732646529063547777,81.17146371871147464210543432,2205918000
22.40,0,0.1991400386267263245543079210,0.199140038626726,0.198573394505083,0.199140038626726,0.198573394505083,0,0.0000000,0.0000000,0,5.3703329318483388305977718506,76.316319024129548315782914713,81.16478702261025852034882011,2206903000
22.41,0,0.1991375943312423288721663579,0.199137594331242,0.198571439398572,0.199137594331242,0.198571439398572,0,0.0000000,0.0000000,0,5.3693475012716389437552034468,76.304987081231259148207392406,81.15814202219094319371442039,2207888000
22.42,0,0.1991351540235664584520100913,0.199135154023566,0.198569487645896,0.199135154023566,0.198569487645896,0,0.0000000,0.0000000,0,5.3683625205540224708208460033,76.293624314369838552922100719,81.15147782322519894229021264,2208874000
22.43,0,0.1991327166997587119983535867,0.199132716699759,0.198567538244211,0.199132716699759,0.198567538244211,0,0.0000000,0.0000000,0,5.3673777154893807658860988129,76.282259671996881764259639311,81.14481263116175569973980367,2209859000
22.44,0,0.1991302813558783681356681512,0.199130281355878,0.198565590190669,0.199130281355878,0.198565590190669,0,0.0000000,0.0000000,0,5.3663933843830151830423611733,76.270933564533410938348007677,81.13817124102522889519201682,2210844000
22.45,0,0.1991278606304980469545792032,0.199127860630498,0.198563656124934,0.199127860630498,0.198563656124934,0,0.0000000,0.0000000,0,5.3654098706474327524240551822,76.259589920766104995781920821,81.13151854475173854181935071,2211830000
22.46,0,0.1991254312546661510248932919,0.199125431254666,0.198561712779143,0.199125431254666,0.198561712779143,0,0.0000000,0.0000000,0,5.3644268549521534760365345316,76.248255216226107584832140993,81.12487125054755892886404023,2212815000
22.47,0,0.1991230048629517589816639843,0.199123004862952,0.198559771788951,0.199123004862952,0.198559771788951,0,0.0000000,0.0000000,0,5.3634438807179500600572441226,76.236912821150804676113289915,81.11821945025371083128207342,2213800000
22.48,0,0.1991205824594199022404415525,0.19912058245942,0.198557834159508,0.19912058245942,0.198557834159508,0,0.0000000,0.0000000,0,5.3624615462750481825345604479,76.225617267167559857748849928,81.111596419668561687152438,2214785000
22.49,0,0.1991181726666299455098013805,0.19911817266663,0.198555908514453,0.19911817266663,0.198555908514453,0,0.0000000,0.0000000,0,5.3614790773663591975598828043,76.214272763898458445186448272,81.10494343767921087576253516,2215770000
22.50,0,0.1991157908206009664331331334,0.199115790820601,0.198554010190887,0.199115790820601,0.198554010190887,0,0.0000000,0.0000000,0,5.3604979448923801352676332896,76.202959532244953831973198115,81.09830891640802957054657832,2216755000
22.51,0,0.1991133763659743501758597155,0.199113376365974,0.198552078634526,0.199113376365974,0.198552078634526,0,0.0000000,0.0000000,0,5.3595168745790866737061883976,76.191648699537496206671192118,81.09167610133088026390624771,2217741000
22.52,0,0.1991109745222743540092117161,0.199110974522274,0.198550159065971,0.199110974522274,0.198550159065971,0,0.0000000,0.0000000,0,5.3585355921189101669669474255,76.180355694514940488050092232,81.08505480617059710790366469,2218726000
22.53,0,0.1991085660365601756449162431,0.19910856603656,0.198548232233351,0.19910856603656,0.198548232233351,0,0.0000000,0.0000000,0,5.3575557136535719691413096686,76.169060192956711317074304571,81.07843093945773668706354508,2219711000
22.54,0,0.1991061249424316601000155994,0.199106124942432,0.198546272171338,0.199106124942432,0.198546272171338,0,0.0000000,0.0000000,0,5.3565758649087891103636972256,76.157757027143542060203674367,81.07180254760080596252617461,2220697000
22.55,0,0.1991037676453366668599070813,0.199103767645337,0.198544395286447,0.199103767645337,0.198544395286447,0,0.0000000,0.0000000,0,5.3555959715767229447255093906,76.146447077870127220474072488,81.0651702400177815029748244,2221682000
22.56,0,0.1991013787439518377346789270,0.199101378743952,0.19854248617842,0.199101378743952,0.19854248617842,0,0.0000000,0.0000000,0,5.3546172319619048263181454606,76.135199793570833737034567588,81.05857597233305214362030199,2222667000
22.57,0,0.1990989811927897238208322300,0.19909898119279,0.198540567802832,0.19909898119279,0.198540567802832,0,0.0000000,0.0000000,0,5.3536385170228104331899819301,76.123911950288347089706229496,81.05195676693274751660363963,2223652000
22.58,0,0.1990965972569216312930964861,0.199096597256922,0.198538662425816,0.199096597256922,0.198538662425816,0,0.0000000,0.0000000,0,5.3526604524264111194324180965,76.112634755984571149065615081,81.04534379416536908337040218,2224637000
22.59,0,0.1990942056753998552722277341,0.1990942056754,0.198536748787483,0.1990942056754,0.198536748787483,0,0.0000000,0.0000000,0,5.3516823091476639151798760559,76.101347420416994583095827925,81.03872482858918500673756549,2225623000
22.60,0,0.1990918277092919905974483557,0.199091827709292,0.198534848149956,0.199091827709292,0.198534848149956,0,0.0000000,0.0000000,0,5.3507048128367301745237551039,76.090110330920040202973720087,81.03213663222964164637117543,2226608000
22.61,0,0.1990894517241514385536616257,0.199089451724151,0.198532948879843,0.199089451724151,0.198532948879843,0,0.0000000,0.0000000,0,5.3497278617977712515554545391,76.078848553321857833630316955,81.02553283416194356942471735,2227593000
22.62,0,0.1990870797280435218118817717,0.199087079728044,0.198531052986261,0.199087079728044,0.198531052986261,0,0.0000000,0.0000000,0,5.3487515270304928243233508538,76.067594089309093558649834211,81.01893320081048545090635285,2228578000
22.63,0,0.1990846990825180102414617957,0.199084699082518,0.198529147831809,0.199084699082518,0.198529147831809,0,0.0000000,0.0000000,0,5.3477751341598775990048889457,76.056332876315006402665677339,81.01232963206016259793356209,2229563000
22.64,0,0.1990823330566480213526383072,0.199082333056648,0.198527256686608,0.199082333056648,0.198527256686608,0,0.0000000,0.0000000,0,5.3467992542020855776054225127,76.045116052508873791674535273,81.00575329005500698519538469,2230549000
22.65,0,0.1990799690119829450948074671,0.199079969011983,0.198525366913252,0.199079969011983,0.198525366913252,0,0.0000000,0.0000000,0,5.3458241127653694663023964495,76.033879595331068497044922259,80.99916427284907465874183588,2231534000
